symbol,name,isin,sector,industry,country,exchange
1COV.DE,COVESTRO AG,AT0000816301,Basic Materials,Specialty Chemicals,Germany,GER
A,"Agilent Technologies, Inc.",US00846U1016,Healthcare,Diagnostics & Research,United States,NYQ
AA,Alcoa Corporation,US0138721065,Basic Materials,Aluminum,United States,NYQ
AAC,Ares Acquisition Corporation,KYG330321061,Financial Services,Shell Companies,United States,NYQ
AACG,ATA Creativity Global,US00211V1061,Consumer Defensive,Education & Training Services,China,NGM
AACI,Armada Acquisition Corp. I,US04208V1035,Financial Services,Shell Companies,United States,NGM
AACIU,Armada Acquisition Corp. I,US04208V2025,Financial Services,Shell Companies,United States,NGM
AADI,"Aadi Bioscience, Inc.",US00032Q1040,Healthcare,Biotechnology,United States,NCM
AAL,"American Airlines Group, Inc.",US02376R1023,Industrials,Airlines,United States,NMS
AAME,Atlantic American Corporation,US0482091008,Financial Services,Insurance—Life,United States,NGM
AAOI,"Applied Optoelectronics, Inc.",US03823U1025,Technology,Semiconductors,United States,NGM
AAON,"AAON, Inc.",US0003602069,Industrials,Building Products & Equipment,United States,NMS
AAP,Advance Auto Parts Inc.,US00751Y1064,Consumer Cyclical,Specialty Retail,United States,NYQ
AAPL,Apple Inc.,US0378331005,Technology,Consumer Electronics,United States,NMS
AATC,Autoscope Technologies Corporat,US0533061067,Technology,Scientific & Technical Instruments,United States,NCM
AAWW,Atlas Air Worldwide Holdings,US0491642056,Industrials,Airports & Air Services,United States,NMS
AB,AllianceBernstein Holding L.P.,US01881G1067,Financial Services,Asset Management,United States,NYQ
ABBV,AbbVie Inc.,US00287Y1091,Healthcare,Drug Manufacturers—General,United States,NYQ
ABC,AmerisourceBergen Corporation,US03073E1055,Healthcare,Medical Distribution,United States,NYQ
ABCB,Ameris Bancorp,US03076K1088,Financial Services,Banks—Regional,United States,NMS
ABCL,AbCellera Biologics Inc.,CA00288U1066,Healthcare,Biotechnology,Canada,NMS
ABCM,Abcam plc,US0003802040,Healthcare,Biotechnology,United Kingdom,NMS
ABEO,Abeona Therapeutics Inc.,US00289Y1073,Healthcare,Biotechnology,United States,NCM
ABGI,ABG Acquisition Corp. I,KYG004961028,Financial Services,Shell Companies,United States,NCM
ABIO,"ARCA biopharma, Inc.",US00211Y5069,Healthcare,Biotechnology,United States,NCM
ABMD,"ABIOMED, Inc.",US0036541003,Healthcare,Medical Devices,United States,NMS
ABNB,"Airbnb, Inc.",US0090661010,Consumer Cyclical,Travel Services,United States,NMS
ABOS,"Acumen Pharmaceuticals, Inc.",US00509G2093,Healthcare,Biotechnology,United States,NMS
ABSI,Absci Corporation,US00091E1091,Healthcare,Biotechnology,United States,NMS
ABST,Absolute Software Corporation,CA00386B1094,Technology,Software—Application,Canada,NMS
ABT,Abbott Laboratories,US0028241000,Healthcare,Medical Devices,United States,NYQ
ABTX,"Allegiance Bancshares, Inc.",US01748H1077,Financial Services,Banks—Regional,United States,NGM
ABUS,Arbutus Biopharma Corporation,CA03879J1003,Healthcare,Biotechnology,United States,NMS
ABVC,"ABVC Biopharma, Inc.",US00091F1066,Healthcare,Biotechnology,United States,NCM
AC,"Associated Capital Group, Inc.",US0455281065,Financial Services,Capital Markets,United States,NYQ
ACA,"Arcosa, Inc.",US0396531008,Industrials,Infrastructure Operations,United States,NYQ
ACA.PA,CREDIT AGRICOLE,FR0000185506,Financial Services,Banks—Regional,France,PAR
ACAD,ACADIA Pharmaceuticals Inc.,US0042251084,Healthcare,Biotechnology,United States,NMS
ACAH,Atlantic Coastal Acquisition Co,US0484531043,Financial Services,Shell Companies,United States,NCM
ACAHU,Atlantic Coastal Acquisition Co,US0484532033,Financial Services,Shell Companies,United States,NCM
ACAN,AMERICANN INC,-,Real Estate,Real Estate Services,United States,PNK
ACB,Aurora Cannabis Inc.,CA05156X8843,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,NMS
ACBA,Ace Global Business Acquisition,VGG0083E1025,Financial Services,Shell Companies,Hong Kong,NCM
ACBAU,Ace Global Business Acquisition,VGG0083E1280,Financial Services,Shell Companies,Hong Kong,NCM
ACBI,"Atlantic Capital Bancshares, In",US0482692037,Financial Services,Banks—Regional,United States,NMS
ACCD,"Accolade, Inc.",US00437E1029,Healthcare,Health Information Services,United States,NMS
ACER,Acer Therapeutics Inc.,US00444P1084,Healthcare,Biotechnology,United States,NCM
ACET,"Adicet Bio, Inc.",-,Healthcare,Biotechnology,United States,NGM
ACEV,ACE Convergence Acquisition Cor,KYG0083D1209,Financial Services,Shell Companies,United States,NCM
ACEVU,ACE Convergence Acquisition Cor,KYG0083D1126,Financial Services,Shell Companies,United States,NCM
ACGL,Arch Capital Group Ltd.,BMG0450A1053,Financial Services,Insurance—Diversified,Bermuda,NMS
ACGLN,Arch Capital Group Ltd. - Depos,US03939A4040,Financial Services,Insurance—Diversified,Bermuda,NMS
ACGLO,Arch Capital Group Ltd. - Depos,US03939A1079,Financial Services,Insurance—Diversified,Bermuda,NMS
ACH,Aluminum Corporation of China L,US0222761092,Basic Materials,Aluminum,China,NYQ
ACHC,"Acadia Healthcare Company, Inc.",US00404A1097,Healthcare,Medical Care Facilities,United States,NMS
ACHL,Achilles Therapeutics plc,US00449L1026,Healthcare,Biotechnology,United Kingdom,NMS
ACHV,"Achieve Life Sciences, Inc.",US0044685008,Healthcare,Biotechnology,Canada,NCM
ACIU,AC Immune SA,CH0329023102,Healthcare,Biotechnology,Switzerland,NGM
ACIW,"ACI Worldwide, Inc.",US0044981019,Technology,Software—Infrastructure,United States,NMS
ACLS,"Axcelis Technologies, Inc.",US0545402085,Technology,Semiconductor Equipment & Materials,United States,NMS
ACMR,"ACM Research, Inc.",US00108J1097,Technology,Semiconductor Equipment & Materials,United States,NGM
ACN,Accenture plc,IE00B4BNMY34,Technology,Information Technology Services,Ireland,NYQ
ACNB,ACNB Corporation,US0008681092,Financial Services,Banks—Regional,United States,NCM
ACOR,"Acorda Therapeutics, Inc.",US00484M6012,Healthcare,Drug Manufacturers—Specialty & Generic,United States,NMS
ACQR,Independence Holdings Corp.,KYG4761A1013,Financial Services,Shell Companies,United States,NCM
ACQRU,Independence Holdings Corp.,KYG4761A1195,Financial Services,Shell Companies,United States,NCM
ACRS,"Aclaris Therapeutics, Inc.",US00461U1051,Healthcare,Biotechnology,United States,NMS
ACRX,"AcelRx Pharmaceuticals, Inc.",US00444T1007,Healthcare,Drug Manufacturers—Specialty & Generic,United States,NGM
ACST,"Acasti Pharma, Inc.",CA00430K8730,Healthcare,Biotechnology,Canada,NCM
ACT,"Enact Holdings, Inc.",US29249E1091,Financial Services,Insurance—Specialty,United States,NMS
ACTD,ArcLight Clean Transition Corp.,KYG0R21B1044,Financial Services,Shell Companies,United States,NCM
ACTDU,ArcLight Clean Transition Corp.,KYG0R21B1200,Financial Services,Shell Companies,United States,NCM
ACTG,Acacia Research Corporation,US0038813079,Industrials,Specialty Business Services,United States,NMS
ACVA,ACV Auctions Inc.,US00091G1040,Technology,Software—Application,United States,NMS
ACXP,"Acurx Pharmaceuticals, Inc.",US00510M1045,Healthcare,Biotechnology,United States,NCM
ADAG,Adagene Inc.,US0053291078,Healthcare,Biotechnology,China,NGM
ADAL,Anthemis Digital Acquisitions I,CA58937M1077,Financial Services,Shell Companies,United States,NGM
ADALU,Anthemis Digital Acquisitions I,KYG039591220,Financial Services,Shell Companies,United States,NGM
ADALW,Anthemis Digital Acquisitions I Corp Warrant,-,Financial Services,Shell Companies,United States,NGM
ADAP,Adaptimmune Therapeutics plc,US00653A1079,Healthcare,Biotechnology,United Kingdom,NMS
ADBE,Adobe Inc.,US00724F1012,Technology,Software—Infrastructure,United States,NMS
ADER,26 Capital Acquisition Corp.,US90138P1003,Financial Services,Shell Companies,United States,NCM
ADERU,26 Capital Acquisition Corp.,US90138P2092,Financial Services,Shell Companies,United States,NCM
ADES,"Advanced Emissions Solutions, I",US00770C1018,Industrials,Pollution & Treatment Controls,United States,NGM
ADGI,"Adagio Therapeutics, Inc.",US00534A1025,Healthcare,Biotechnology,United States,NGM
ADI,"Analog Devices, Inc.",US0326541051,Technology,Semiconductors,United States,NMS
ADIL,"Adial Pharmaceuticals, Inc",US00688A1060,Healthcare,Biotechnology,United States,NCM
ADM,Archer-Daniels-Midland Company,US0394831020,Consumer Defensive,Farm Products,United States,NYQ
ADMA,ADMA Biologics Inc,US0008991046,Healthcare,Biotechnology,United States,NGM
ADMP,Adamis Pharmaceuticals Corporat,US00547W2089,Healthcare,Drug Manufacturers—Specialty & Generic,United States,NCM
ADN,"Advent Technologies Holdings, I",US00788A1051,Utilities,Utilities—Renewable,United States,NCM
ADOC,Edoc Acquisition Corp.,KYG4000A1022,Financial Services,Shell Companies,United States,NCM
ADOCR,Edoc Acquisition Corp.,-,,,United States,NCM
ADP,"Automatic Data Processing, Inc.",US0530151036,Industrials,Staffing & Employment Services,United States,NMS
ADPT,Adaptive Biotechnologies Corpor,US00650F1093,Healthcare,Biotechnology,United States,NMS
ADS,Alliance Data Systems Corporati,US0185811082,Financial Services,Credit Services,United States,NYQ
ADS.DE,ADIDAS AG,AT0000816301,Consumer Cyclical,Footwear & Accessories,Germany,GER
ADSE,ADS-TEC ENERGY PLC,-,Industrials,Electrical Equipment & Parts,Ireland,NCM
ADSEW,ADS-TEC ENERGY PLC Warrant,-,Industrials,Electrical Equipment & Parts,Ireland,NCM
ADSK,"Autodesk, Inc.",US0527691069,Technology,Software—Application,United States,NMS
ADTH,"AdTheorent Holding Company, Inc",-,Communication Services,Advertising Agencies,United States,NCM
ADTN,"ADTRAN, Inc.",US00738A1060,Technology,Communication Equipment,United States,NMS
ADTX,"Aditxt, Inc.",US0070251097,Healthcare,Biotechnology,United States,NCM
ADUS,Addus HomeCare Corporation,US0067391062,Healthcare,Medical Care Facilities,United States,NMS
ADV,Advantage Solutions Inc.,US00791N1028,Communication Services,Advertising Agencies,United States,NMS
ADVM,"Adverum Biotechnologies, Inc.",US00773U1088,Healthcare,Biotechnology,United States,NGM
ADXN,Addex Therapeutics Ltd,US00654J1079,Healthcare,Biotechnology,Switzerland,NCM
ADYEY,ADYEN NV UNSPON ADS EACH REP 0.,-,Technology,Software—Infrastructure,Netherlands,PNK
AEAC,Authentic Equity Acquisition Co,KYG066071088,Financial Services,Shell Companies,United States,NCM
AEACU,Authentic Equity Acquisition Co,KYG066071161,Financial Services,Shell Companies,United States,NCM
AEAE,AltEnergy Acquisition Corp.,-,Financial Services,Shell Companies,United States,NGM
AEAEU,AltEnergy Acquisition Corp.,US02157M2070,Financial Services,Shell Companies,United States,NGM
AEAEW,ALTENERGY ACQUISITION CORP C/WT,-,Financial Services,Shell Companies,United States,NGM
AEE,Ameren Corporation,US0236081024,Utilities,Utilities—Regulated Electric,United States,NYQ
AEG,AEGON N.V.,US0079241032,Financial Services,Insurance—Diversified,Netherlands,NYQ
AEHA,Aesther Healthcare Acquisition,US00809L1061,Financial Services,Shell Companies,United States,NGM
AEHAU,Aesther Healthcare Acquisition,US00809L2051,Financial Services,Shell Companies,United States,NGM
AEHL,Antelope Enterprise Holdings Li,VGG041JN1065,Industrials,Building Products & Equipment,China,NCM
AEHR,Aehr Test Systems,US00760J1088,Technology,Semiconductor Equipment & Materials,United States,NCM
AEI,Alset EHome International Inc.,US02116A1043,Real Estate,Real Estate—Development,United States,NCM
AEIS,"Advanced Energy Industries, Inc",US0079731008,Industrials,Electrical Equipment & Parts,United States,NMS
AEM,Agnico Eagle Mines Limited,CA0084741085,Basic Materials,Gold,Canada,NYQ
AEMD,"Aethlon Medical, Inc.",US00808Y3071,Healthcare,Medical Devices,United States,NCM
AEP,American Electric Power Company,US0255371017,Utilities,Utilities—Regulated Electric,United States,NMS
AEPPZ,American Electric Power Company,-,Utilities,Utilities—Regulated Electric,United States,NMS
AERC,"AeroClean Technologies, Inc.",US0077441055,Industrials,Pollution & Treatment Controls,United States,NCM
AERI,"Aerie Pharmaceuticals, Inc.",US00771V1089,Healthcare,Drug Manufacturers—Specialty & Generic,United States,NGM
AES,The AES Corporation,US00130H1059,Utilities,Utilities—Diversified,United States,NYQ
AESE,"Allied Esports Entertainment, I",-,Communication Services,Entertainment,United States,NCM
AEY,"ADDvantage Technologies Group, ",US0067433062,Technology,Electronics & Computer Distribution,United States,NCM
AEYE,"AudioEye, Inc.",US0507342014,Technology,Software—Application,United States,NCM
AEZS,Aeterna Zentaris Inc.,CA0079754028,Healthcare,Biotechnology,United States,NCM
AFAC,Arena Fortify Acquisition Corp.,-,Financial Services,Shell Companies,United States,NGM
AFACU,Arena Fortify Acquisition Corp.,US04005A2033,Financial Services,Shell Companies,United States,NGM
AFACW,Arena Fortify Acquisition Corp. Warrant,-,Financial Services,Shell Companies,United States,NGM
AFAQ,AF Acquisition Corp.,US0010401042,Financial Services,Shell Companies,United States,NCM
AFAQU,AF Acquisition Corp.,-,Financial Services,Shell Companies,United States,NCM
AFBI,"Affinity Bancshares, Inc.",US00832E1038,Financial Services,Banks—Regional,United States,NCM
AFCG,"AFC Gamma, Inc.",US00109K1051,Real Estate,REIT—Specialty,United States,NGM
AFIB,"Acutus Medical, Inc.",US0051111096,Healthcare,Medical Devices,United States,NMS
AFIN,"American Finance Trust, Inc.",US02607T1097,Real Estate,REIT—Diversified,United States,NMS
AFINO,"American Finance Trust, Inc. - ",US02607T5056,Real Estate,REIT—Diversified,United States,NMS
AFINP,"American Finance Trust, Inc. - ",US02607T4067,Real Estate,REIT—Diversified,United States,NMS
AFL,AFLAC Incorporated,US0010551028,Financial Services,Insurance—Life,United States,NYQ
AFMD,Affimed N.V.,NL0010872420,Healthcare,Biotechnology,Germany,NGM
AFRM,"Affirm Holdings, Inc.",US00827B1061,Technology,Software—Infrastructure,United States,NMS
AFYA,Afya Limited,KYG011251066,Consumer Defensive,Education & Training Services,Brazil,NMS
AGBA,AGBA Acquisition Limited,VGG0120M1095,Financial Services,Shell Companies,Hong Kong,NCM
AGBAU,AGBA Acquisition Limited,VGG0120M1335,Financial Services,Shell Companies,Hong Kong,NCM
AGEN,Agenus Inc.,US00847G7051,Healthcare,Biotechnology,United States,NCM
AGFS,"AgroFresh Solutions, Inc.",US00856G1094,Consumer Defensive,Farm Products,United States,NMS
AGFY,Agrify Corporation,US00853E1073,Industrials,Engineering & Construction,United States,NCM
AGGR,Agile Growth Corp.,KYG012021039,Financial Services,Shell Companies,United States,NCM
AGGRU,Agile Growth Corp.,KYG012021294,Financial Services,Shell Companies,United States,NCM
AGIL,"AgileThought, Inc.",US00857F1003,Technology,Software—Application,United States,NCM
AGIO,"Agios Pharmaceuticals, Inc.",US00847X1046,Healthcare,Biotechnology,United States,NMS
AGL,"agilon health, inc.",US00857U1079,Healthcare,Medical Care Facilities,United States,NYQ
AGLE,"Aeglea BioTherapeutics, Inc.",US00773J1034,Healthcare,Biotechnology,United States,NGM
AGMH,AGM Group Holdings Inc.,VGG0132V1058,Technology,Software—Application,Hong Kong,NCM
AGNC,AGNC Investment Corp.,US00123Q1040,Real Estate,REIT—Mortgage,United States,NMS
AGNCM,AGNC Investment Corp. - Deposit,US00123Q6098,Real Estate,REIT—Mortgage,United States,NMS
AGNCN,AGNC Investment Corp. - Deposit,US00123Q5009,Real Estate,REIT—Mortgage,United States,NMS
AGNCO,AGNC Investment Corp. - Deposit,US00123Q8078,Real Estate,REIT—Mortgage,United States,NMS
AGNCP,AGNC Investment Corp. - Deposit,US00123Q8722,Real Estate,REIT—Mortgage,United States,NMS
AGR,"Avangrid, Inc.",US05351W1036,Utilities,Utilities—Regulated Electric,United States,NYQ
AGRI,AgriFORCE  Growing Systems Ltd.,CAC009481069,Consumer Defensive,Farm Products,Canada,NCM
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,-,Consumer Defensive,Farm Products,Canada,NCM
AGRX,"Agile Therapeutics, Inc.",US00847L1008,Healthcare,Drug Manufacturers—Specialty & Generic,United States,NCM
AGS,"PlayAGS, Inc.",US72814N1046,Consumer Cyclical,Gambling,United States,NYQ
AGTC,Applied Genetic Technologies Co,US03820J1007,Healthcare,Biotechnology,United States,NGM
AGYS,"Agilysys, Inc.",US00847J1051,Technology,Software—Application,United States,NMS
AHCO,AdaptHealth Corp.,US00653Q1022,Healthcare,Medical Devices,United States,NCM
AHG,Akso Health Group,-,Financial Services,Credit Services,China,NGM
AHI,Advanced Human Imaging Limited.,US00777C1045,Technology,Software—Application,Australia,NCM
AHPA,Avista Public Acquisition Corp.,KYG072471025,Financial Services,Shell Companies,United States,NCM
AHPAU,Avista Public Acquisition Corp.,KYG072471108,Financial Services,Shell Companies,United States,NCM
AHPI,"Allied Healthcare Products, Inc",US0192222075,Healthcare,Medical Devices,United States,NCM
AHT,Ashford Hospitality Trust Inc,US0441038694,Real Estate,REIT—Hotel & Motel,United States,NYQ
AI,"C3.ai, Inc.",US12468P1049,Technology,Information Technology Services,United States,NYQ
AI.PA,AIR LIQUIDE,FR0000053951,Basic Materials,Specialty Chemicals,France,PAR
AIG,"American International Group, I",US0268747849,Financial Services,Insurance—Diversified,United States,NYQ
AIH,Aesthetic Medical International,US00809M1045,Healthcare,Medical Care Facilities,China,NGM
AIHS,Senmiao Technology Limited,US8172251055,Financial Services,Credit Services,China,NCM
AIKI,AIkido Pharma Inc.,US0088751062,Healthcare,Biotechnology,United States,NCM
AIMC,Altra Industrial Motion Corp.,US02208R1068,Industrials,Specialty Industrial Machinery,United States,NMS
AINV,Apollo Investment Corporation -,US03761U5020,Financial Services,Asset Management,United States,NGM
AIP,"Arteris, Inc.",US04302A1043,Technology,Semiconductors,United States,NGM
AIR,AAR Corp.,US0003611052,Industrials,Aerospace & Defense,United States,NYQ
AIR.PA,AIRBUS SE,DE000A2P4HL9,Industrials,Aerospace & Defense,Netherlands,PAR
AIRG,"Airgain, Inc.",US00938A1043,Technology,Communication Equipment,United States,NCM
AIRS,"AirSculpt Technologies, Inc.",US0094961002,Healthcare,Medical Care Facilities,United States,NGM
AIRT,"Air T, Inc.",US0092071010,Industrials,Integrated Freight & Logistics,United States,NGM
AIRTP,"Air T, Inc. - Trust Preferred S",-,Industrials,Integrated Freight & Logistics,United States,NGM
AIZ,"Assurant, Inc.",US04621X1081,Financial Services,Insurance—Specialty,United States,NYQ
AJG,Arthur J. Gallagher & Co.,US3635761097,Financial Services,Insurance Brokers,United States,NYQ
AKA,a.k.a. Brands Holding Corp.,US00152K1016,Consumer Cyclical,Internet Retail,United States,NYQ
AKAM,"Akamai Technologies, Inc.",US00971T1016,Technology,Software—Infrastructure,United States,NMS
AKBA,"Akebia Therapeutics, Inc.",US00972D1054,Healthcare,Biotechnology,United States,NGM
AKIC,Sports Ventures Acquisition Cor,KYG8372A1031,Financial Services,Shell Companies,United States,NCM
AKICU,Sports Ventures Acquisition Cor,KYG8372A1114,Financial Services,Shell Companies,United States,NCM
AKOM,AERKOMM INC,US00774B2088,Technology,Communication Equipment,United States,PNK
AKRO,"Akero Therapeutics, Inc.",US00973Y1082,Healthcare,Biotechnology,United States,NMS
AKTS,"Akoustis Technologies, Inc.",US00973N1028,Technology,Communication Equipment,United States,NCM
AKTX,Akari Therapeutics Plc,US00972G1085,Healthcare,Biotechnology,United Kingdom,NCM
AKU,Akumin Inc.,CA01021F1099,Healthcare,Diagnostics & Research,United States,NCM
AKUS,"Akouos, Inc.",US00973J1016,Healthcare,Biotechnology,United States,NMS
AKYA,"Akoya BioSciences, Inc.",US00974H1041,Healthcare,Medical Instruments & Supplies,United States,NMS
ALAC,Alberton Acquisition Corporatio,VGG350061088,Financial Services,Shell Companies,Hong Kong,NCM
ALACU,Alberton Acquisition Corporatio,VGG350061161,Financial Services,Shell Companies,Hong Kong,NCM
ALACW,Alberton Acquisition Corporatio,-,Financial Services,Shell Companies,Hong Kong,NCM
ALB,Albemarle Corporation,US0126531013,Basic Materials,Specialty Chemicals,United States,NYQ
ALBO,"Albireo Pharma, Inc.",US01345P1066,Healthcare,Biotechnology,United States,NCM
ALCO,"Alico, Inc.",US0162301040,Consumer Defensive,Farm Products,United States,NMS
ALDX,"Aldeyra Therapeutics, Inc.",US01438T1060,Healthcare,Biotechnology,United States,NCM
ALEC,"Alector, Inc.",US0144421072,Healthcare,Biotechnology,United States,NMS
ALF,"ALFI, Inc.",US00161P1093,Technology,Software—Infrastructure,United States,NCM
ALGM,"Allegro MicroSystems, Inc.",US01749D1054,Technology,Semiconductors,United States,NMS
ALGN,"Align Technology, Inc.",US0162551016,Healthcare,Medical Devices,United States,NMS
ALGS,"Aligos Therapeutics, Inc.",US01626L1052,Healthcare,Biotechnology,United States,NMS
ALGT,Allegiant Travel Company,US01748X1028,Industrials,Airlines,United States,NMS
ALHC,"Alignment Healthcare, Inc.",US01625V1044,Healthcare,Healthcare Plans,United States,NMS
ALIM,"Alimera Sciences, Inc.",US0162592028,Healthcare,Drug Manufacturers—Specialty & Generic,United States,NGM
ALJJ,"ALJ Regional Holdings, Inc.",US0016271084,Industrials,Specialty Business Services,United States,NGM
ALK,"Alaska Air Group, Inc.",US0116591092,Industrials,Airlines,United States,NYQ
ALKS,Alkermes plc,IE00B56GVS15,Healthcare,Biotechnology,Ireland,NMS
ALKT,"Alkami Technology, Inc.",US01644J1088,Technology,Software—Application,United States,NMS
ALL,Allstate Corporation (The),US0200021014,Financial Services,Insurance—Property & Casualty,United States,NYQ
ALLE,Allegion plc,IE00BFRT3W74,Industrials,Security & Protection Services,Ireland,NYQ
ALLK,Allakos Inc.,US01671P1003,Healthcare,Biotechnology,United States,NMS
ALLO,"Allogene Therapeutics, Inc.",US0197701065,Healthcare,Biotechnology,United States,NMS
ALLR,"Allarity Therapeutics, Inc.",-,Healthcare,Biotechnology,United States,NGM
ALLT,Allot Ltd.,IL0010996549,Technology,Software—Infrastructure,Israel,NMS
ALLY,Ally Financial Inc.,US02005N1000,Financial Services,Credit Services,United States,NYQ
ALNA,"Allena Pharmaceuticals, Inc.",US0181191075,Healthcare,Biotechnology,United States,NMS
ALNY,"Alnylam Pharmaceuticals, Inc.",US02043Q1076,Healthcare,Biotechnology,United States,NMS
ALO.PA,ALSTOM,-,Industrials,Railroads,France,PAR
ALOR,ALSP Orchid Acquisition Corpora,INE283H01019,Financial Services,Shell Companies,United States,NGM
ALORU,ALSP Orchid Acquisition Corpora,KYG0231L1150,Financial Services,Shell Companies,United States,NGM
ALOT,"AstroNova, Inc.",-,Technology,Computer Hardware,United States,NGM
ALPA,Alpha Healthcare Acquisition Co,US02073F1049,Financial Services,Shell Companies,United States,NCM
ALPAU,Alpha Healthcare Acquisition Co,US02073F2039,Financial Services,Shell Companies,United States,NCM
ALPN,"Alpine Immune Sciences, Inc.",US02083G1004,Healthcare,Biotechnology,United States,NGM
ALPP,"Alpine 4 Holdings, Inc.",US02083E1055,Industrials,Metal Fabrication,United States,NCM
ALRM,"Alarm.com Holdings, Inc.",US0116421050,Technology,Software—Application,United States,NMS
ALRN,"Aileron Therapeutics, Inc.",US00887A1051,Healthcare,Biotechnology,United States,NCM
ALRS,Alerus Financial Corporation,US01446U1034,Financial Services,Banks—Regional,United States,NCM
ALSAU,Alpha Star Acquisition Corporat,-,Financial Services,Shell Companies,United States,NGM
ALT,"Altimmune, Inc.",US02155H2004,Healthcare,Biotechnology,United States,NGM
ALTM,Altus Midstream Company,US02215L2097,Energy,Oil & Gas Midstream,United States,NGM
ALTO,"Alto Ingredients, Inc.",-,Basic Materials,Specialty Chemicals,United States,NCM
ALTR,Altair Engineering Inc.,US0213691035,Technology,Software—Infrastructure,United States,NMS
ALTU,Altitude Acquisition Corp.,US02156Y1038,Financial Services,Shell Companies,United States,NCM
ALTUU,Altitude Acquisition Corp.,US02156Y2028,Financial Services,Shell Companies,United States,NCM
ALV.DE,ALLIANZ SE,BE0974269012,Financial Services,Insurance—Diversified,Germany,GER
ALVR,"AlloVir, Inc.",US0198181036,Healthcare,Biotechnology,United States,NMS
ALX,"Alexander's, Inc.",US0147521092,Real Estate,REIT—Retail,United States,NYQ
ALXO,ALX Oncology Holdings Inc.,US00166B1052,Healthcare,Biotechnology,United States,NMS
ALYA,Alithya Group inc.,CA01643B1067,Technology,Information Technology Services,Canada,NCM
ALZN,"Alzamend Neuro, Inc.",US02262M3088,Healthcare,Biotechnology,United States,NCM
AM,Antero Midstream Corporation,US03676B1026,Energy,Oil & Gas Midstream,United States,NYQ
AMAL,Amalgamated Financial Corp.,US0226711010,Financial Services,Banks—Regional,United States,NGM
AMAO,American Acquisition Opportunit,US02369M1027,Financial Services,Shell Companies,United States,NCM
AMAOU,American Acquisition Opportunit,US02369M2017,Financial Services,Shell Companies,United States,NCM
AMAT,"Applied Materials, Inc.",US0382221051,Technology,Semiconductor Equipment & Materials,United States,NMS
AMBA,"Ambarella, Inc.",KYG037AX1015,Technology,Semiconductor Equipment & Materials,United States,NMS
AMC,"AMC Entertainment Holdings, Inc",US00165C1045,Communication Services,Entertainment,United States,NYQ
AMCI,AMCI Acquisition Corp. II,US00166R1005,Financial Services,Shell Companies,United States,NCM
AMCIU,AMCI Acquisition Corp. II,US00166R2094,Financial Services,Shell Companies,United States,NCM
AMCR,Amcor plc,JE00BJ1F3079,Consumer Cyclical,Packaging & Containers,Switzerland,NYQ
AMCX,AMC Networks Inc.,US00164V1035,Communication Services,Broadcasting,United States,NMS
AMD,"Advanced Micro Devices, Inc.",US0079031078,Technology,Semiconductors,United States,NMS
AME,"AMETEK, Inc.",US0311001004,Industrials,Specialty Industrial Machinery,United States,NYQ
AMED,Amedisys Inc,US0234361089,Healthcare,Medical Care Facilities,United States,NMS
AMEH,"Apollo Medical Holdings, Inc.",US03763A2078,Healthcare,Medical Care Facilities,United States,NCM
AMG,"Affiliated Managers Group, Inc.",US0082521081,Financial Services,Asset Management,United States,NYQ
AMGN,Amgen Inc.,US0311621009,Healthcare,Drug Manufacturers—General,United States,NMS
AMKR,"Amkor Technology, Inc.",US0316521006,Technology,Semiconductors,United States,NMS
AMNB,"American National Bankshares, I",US0277451086,Financial Services,Banks—Regional,United States,NMS
AMOT,"Allied Motion Technologies, Inc",US0193301092,Technology,Electronic Components,United States,NGM
AMP,"Ameriprise Financial, Inc.",US03076C1062,Financial Services,Asset Management,United States,NYQ
AMPG,"Amplitech Group, Inc.",US03211Q2003,Technology,Communication Equipment,United States,NCM
AMPGW,"Amplitech Group, Inc.",-,,,United States,NCM
AMPH,"Amphastar Pharmaceuticals, Inc.",US03209R1032,Healthcare,Drug Manufacturers—Specialty & Generic,United States,NMS
AMPL,"Amplitude, Inc.",US03213A1043,Technology,Software—Application,United States,NCM
AMRK,"A-Mark Precious Metals, Inc.",US00181T1079,Financial Services,Capital Markets,United States,NMS
AMRN,Amarin Corporation plc,US0231112063,Healthcare,Biotechnology,Ireland,NGM
AMRS,"Amyris, Inc.",US03236M2008,Basic Materials,Specialty Chemicals,United States,NMS
AMSC,American Superconductor Corpora,US0301112076,Industrials,Specialty Industrial Machinery,United States,NMS
AMSF,"AMERISAFE, Inc.",US03071H1005,Financial Services,Insurance—Specialty,United States,NMS
AMST,Amesite Inc.,US0310941051,Technology,Software—Application,United States,NCM
AMSWA,"American Software, Inc.",US0296831094,Technology,Software—Application,United States,NMS
AMT,American Tower Corporation (REI,US03027X1000,Real Estate,REIT—Specialty,United States,NYQ
AMTB,Amerant Bancorp Inc.,US0235761014,Financial Services,Banks—Regional,United States,NMS
AMTI,Applied Molecular Transport Inc,US03824M1099,Healthcare,Biotechnology,United States,NMS
AMTX,"Aemetis, Inc",US00770K2024,Energy,Oil & Gas Refining & Marketing,United States,NGM
AMWD,American Woodmark Corporation,US0305061097,Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States,NMS
AMX,"America Movil, S.A.B. de C.V. A",-,Communication Services,Telecom Services,Mexico,NYQ
